WASH1	WASH7P	ENSG00000227232
OR51F1	MMP26	ENSG00000167346
OR51F1	OR51F1	ENSG00000280021
OR51F1	MMP26	ENSG00000167346
OR51F1	OR51F1	ENSG00000280021
OR51F1	MMP26	ENSG00000167346
OR52R1	OR52R1	ENSG00000279270
OR52R1	MMP26	ENSG00000167346
OR52R1	OR52R1	ENSG00000279270
OR52R1	MMP26	ENSG00000167346
OR52R1	OR52R1	ENSG00000279270
OR52R1	MMP26	ENSG00000167346
OR52R1	OR52R1	ENSG00000279270
OR52R1	MMP26	ENSG00000167346
OR51F2	OR51F2	ENSG00000176925
OR51F2	MMP26	ENSG00000167346
OR51F2	OR51F2	ENSG00000176925
OR51F2	MMP26	ENSG00000167346
OR51F2	OR51F2	ENSG00000176925
OR51F2	MMP26	ENSG00000167346
OR51F2	OR51F2	ENSG00000176925
OR51F2	MMP26	ENSG00000167346
OR51S1	OR51S1	ENSG00000176922
OR51S1	MMP26	ENSG00000167346
OR51S1	OR51S1	ENSG00000176922
OR51S1	MMP26	ENSG00000167346
OR51S1	OR51S1	ENSG00000176922
OR51S1	MMP26	ENSG00000167346
OR51S1	OR51S1	ENSG00000176922
OR51S1	MMP26	ENSG00000167346
OR51T1	OR51T1	ENSG00000176900
OR51T1	MMP26	ENSG00000167346
OR51T1	OR51T1	ENSG00000176900
OR51T1	MMP26	ENSG00000167346
OR51T1	OR51T1	ENSG00000176900
OR51T1	MMP26	ENSG00000167346
OR51T1	OR51T1	ENSG00000176900
OR51T1	MMP26	ENSG00000167346
OR51A7	OR51A7	ENSG00000176895
OR51A7	MMP26	ENSG00000167346
OR51A7	OR51A7	ENSG00000176895
OR51A7	MMP26	ENSG00000167346
OR51A7	OR51A7	ENSG00000176895
OR51A7	MMP26	ENSG00000167346
OR51A7	OR51A7	ENSG00000176895
OR51A7	MMP26	ENSG00000167346
OR51G2	OR51G2	ENSG00000176893
OR51G2	MMP26	ENSG00000167346
OR51G2	OR51G2	ENSG00000176893
OR51G2	MMP26	ENSG00000167346
OR51G2	OR51G2	ENSG00000176893
OR51G2	MMP26	ENSG00000167346
OR51G2	OR51G2	ENSG00000176893
OR51G2	MMP26	ENSG00000167346
OR51G1	OR51G1	ENSG00000278870
OR51G1	MMP26	ENSG00000167346
OR51G1	OR51G1	ENSG00000278870
OR51G1	MMP26	ENSG00000167346
OR51G1	OR51G1	ENSG00000278870
OR51G1	MMP26	ENSG00000167346
OR51G1	OR51G1	ENSG00000278870
OR51G1	MMP26	ENSG00000167346
OR51A2	OR51A4	ENSG00000205497
OR51A2	MMP26	ENSG00000167346
OR51A4	OR51A4	ENSG00000205497
OR51A4	MMP26	ENSG00000167346
OR51A4	OR51A4	ENSG00000205497
OR51A4	MMP26	ENSG00000167346
OR51A4	OR51A4	ENSG00000205497
OR51A4	MMP26	ENSG00000167346
OR51A2	OR51A2	ENSG00000205496
OR51A2	MMP26	ENSG00000167346
OR51A4	OR51A2	ENSG00000205496
OR51A4	MMP26	ENSG00000167346
OR51A2	OR51A2	ENSG00000205496
OR51A2	MMP26	ENSG00000167346
OR51A2	OR51A2	ENSG00000205496
OR51A2	MMP26	ENSG00000167346
MMP26	MMP26	ENSG00000167346
MMP26	MMP26	ENSG00000167346
MMP26	MMP26	ENSG00000167346
MMP26	MMP26	ENSG00000167346
OR51L1	OR51L1	ENSG00000176798
OR51L1	OR51L1	ENSG00000176798
OR51L1	OR51L1	ENSG00000176798
OR51L1	OR51L1	ENSG00000176798
OR52J3	OR52J3	ENSG00000205495
OR52J3	OR52J3	ENSG00000205495
OR52J3	OR52J3	ENSG00000205495
OR52J3	OR52J3	ENSG00000205495
OR52E2	OR52E2	ENSG00000176787
OR52E2	OR52E2	ENSG00000176787
OR52E2	OR52E2	ENSG00000176787
OR52E2	OR52E2	ENSG00000176787
OR52A5	OR52A5	ENSG00000171944
OR52A5	OR52A5	ENSG00000171944
OR52A5	OR52A5	ENSG00000171944
OR52A5	OR52A5	ENSG00000171944
OR52A1	OR52A1	ENSG00000182070
OR52A1	OR52A1	ENSG00000182070
OR52A1	OR52A1	ENSG00000182070
OR52A1	OR52A1	ENSG00000182070
OR51V1	OR51V1	ENSG00000176742
OR51V1	OR51V1	ENSG00000176742
OR51V1	OR51V1	ENSG00000176742
OR51V1	OR51V1	ENSG00000176742
HBB	HBB	ENSG00000244734
HBB	HBB	ENSG00000244734
HBB	HBB	ENSG00000244734
HBB	HBB	ENSG00000244734
HBD	HBD	ENSG00000223609
HBD	HBD	ENSG00000223609
HBD	HBD	ENSG00000223609
HBD	HBD	ENSG00000223609
NegCtrlIntron	HBG1	ENSG00000213934
NegCtrlIntron		ENSG00000284931
NegCtrlIntron	HBG1	ENSG00000213934
NegCtrlIntron		ENSG00000284931
NegCtrlIntron	HBG1	ENSG00000213934
NegCtrlIntron		ENSG00000284931
NegCtrlIntron	HBG1	ENSG00000213934
NegCtrlIntron		ENSG00000284931
NegCtrlIntron	HBG1	ENSG00000213934
NegCtrlIntron		ENSG00000284931
NegCtrlIntron	HBG1	ENSG00000213934
NegCtrlIntron		ENSG00000284931
NegCtrlIntron	HBG1	ENSG00000213934
NegCtrlIntron		ENSG00000284931
NegCtrlIntron	HBG1	ENSG00000213934
NegCtrlIntron		ENSG00000284931
HBG1	HBG1	ENSG00000213934
HBG1		ENSG00000284931
HBG2	HBG1	ENSG00000213934
HBG2		ENSG00000284931
HBG1	HBG1	ENSG00000213934
HBG1		ENSG00000284931
HBG1		ENSG00000284931
HBG1	HBG2	ENSG00000196565
HBG2		ENSG00000284931
HBG2	HBG2	ENSG00000196565
HBE1		ENSG00000284931
HBE1	HBG2	ENSG00000196565
HBE1		ENSG00000239920
HBG2		ENSG00000284931
HBG2	HBG2	ENSG00000196565
HBG2		ENSG00000239920
HBG1		ENSG00000284931
HBG1	HBG2	ENSG00000196565
HBG1		ENSG00000239920
HBG2		ENSG00000284931
HBG2	HBG2	ENSG00000196565
HBG2		ENSG00000239920
HBE1	HBG2	ENSG00000196565
HBE1		ENSG00000239920
HBE1	HBE1	ENSG00000213931
HBE1	HBG2	ENSG00000196565
HBE1		ENSG00000239920
HBE1	HBE1	ENSG00000213931
HBE1	HBG2	ENSG00000196565
HBE1		ENSG00000239920
HBE1	HBE1	ENSG00000213931
OR51B4	OR51B4	ENSG00000183251
OR51B4	HBG2	ENSG00000196565
OR51B4		ENSG00000239920
OR51B4	HBE1	ENSG00000213931
OR51B4	OR51B4	ENSG00000183251
OR51B4	HBG2	ENSG00000196565
OR51B4		ENSG00000239920
OR51B4	HBE1	ENSG00000213931
OR51B4	OR51B4	ENSG00000183251
OR51B4	HBG2	ENSG00000196565
OR51B4		ENSG00000239920
OR51B4	HBE1	ENSG00000213931
OR51B4	OR51B4	ENSG00000183251
OR51B4	HBG2	ENSG00000196565
OR51B4		ENSG00000239920
OR51B4	HBE1	ENSG00000213931
OR51B2	OR51B2	ENSG00000279012
OR51B2	HBG2	ENSG00000196565
OR51B2		ENSG00000239920
OR51B2	HBE1	ENSG00000213931
OR51B2	OR51B5	ENSG00000167355
OR51B2	OR51B2	ENSG00000279012
OR51B2	HBG2	ENSG00000196565
OR51B2		ENSG00000239920
OR51B2	HBE1	ENSG00000213931
OR51B2	OR51B5	ENSG00000167355
OR51B2	OR51B2	ENSG00000279012
OR51B2	HBG2	ENSG00000196565
OR51B2		ENSG00000239920
OR51B2	HBE1	ENSG00000213931
OR51B2	OR51B5	ENSG00000167355
OR51B2	OR51B2	ENSG00000279012
OR51B2	HBG2	ENSG00000196565
OR51B2		ENSG00000239920
OR51B2	HBE1	ENSG00000213931
OR51B2	OR51B5	ENSG00000167355
OR51B5	HBG2	ENSG00000196565
OR51B5		ENSG00000239920
OR51B5	HBE1	ENSG00000213931
OR51B5	OR51B5	ENSG00000167355
OR51B5	HBG2	ENSG00000196565
OR51B5		ENSG00000239920
OR51B5	HBE1	ENSG00000213931
OR51B5	OR51B5	ENSG00000167355
OR51B5	HBG2	ENSG00000196565
OR51B5		ENSG00000239920
OR51B5	HBE1	ENSG00000213931
OR51B5	OR51B5	ENSG00000167355
OR51B5	HBG2	ENSG00000196565
OR51B5		ENSG00000239920
OR51B5	HBE1	ENSG00000213931
OR51B5	OR51B5	ENSG00000167355
OR51B6	OR51B6	ENSG00000176239
OR51B6	HBG2	ENSG00000196565
OR51B6		ENSG00000239920
OR51B6	HBE1	ENSG00000213931
OR51B6	OR51B5	ENSG00000167355
OR51B6	OR51B6	ENSG00000176239
OR51B6	HBG2	ENSG00000196565
OR51B6		ENSG00000239920
OR51B6	HBE1	ENSG00000213931
OR51B6	OR51B5	ENSG00000167355
OR51B6	OR51B6	ENSG00000176239
OR51B6	HBG2	ENSG00000196565
OR51B6		ENSG00000239920
OR51B6	HBE1	ENSG00000213931
OR51B6	OR51B5	ENSG00000167355
OR51B6	OR51B6	ENSG00000176239
OR51B6	HBG2	ENSG00000196565
OR51B6		ENSG00000239920
OR51B6	HBE1	ENSG00000213931
OR51B6	OR51B5	ENSG00000167355
OR51M1	OR51M1	ENSG00000184698
OR51M1	HBG2	ENSG00000196565
OR51M1		ENSG00000239920
OR51M1	HBE1	ENSG00000213931
OR51M1	OR51B5	ENSG00000167355
OR51M1	OR51M1	ENSG00000184698
OR51M1	HBG2	ENSG00000196565
OR51M1		ENSG00000239920
OR51M1	HBE1	ENSG00000213931
OR51M1	OR51B5	ENSG00000167355
OR51M1	OR51M1	ENSG00000184698
OR51M1	HBG2	ENSG00000196565
OR51M1		ENSG00000239920
OR51M1	HBE1	ENSG00000213931
OR51M1	OR51B5	ENSG00000167355
OR51M1	OR51M1	ENSG00000184698
OR51M1	HBG2	ENSG00000196565
OR51M1		ENSG00000239920
OR51M1	HBE1	ENSG00000213931
OR51M1	OR51B5	ENSG00000167355
OR51Q1	OR51Q1	ENSG00000167360
OR51Q1	HBG2	ENSG00000196565
OR51Q1		ENSG00000239920
OR51Q1	HBE1	ENSG00000213931
OR51Q1	OR51B5	ENSG00000167355
OR51Q1	OR51Q1	ENSG00000167360
OR51Q1	HBG2	ENSG00000196565
OR51Q1		ENSG00000239920
OR51Q1	HBE1	ENSG00000213931
OR51Q1	OR51B5	ENSG00000167355
OR51Q1	OR51Q1	ENSG00000167360
OR51Q1	HBG2	ENSG00000196565
OR51Q1		ENSG00000239920
OR51Q1	HBE1	ENSG00000213931
OR51Q1	OR51B5	ENSG00000167355
OR51Q1	OR51Q1	ENSG00000167360
OR51Q1	HBG2	ENSG00000196565
OR51Q1		ENSG00000239920
OR51Q1	HBE1	ENSG00000213931
OR51Q1	OR51B5	ENSG00000167355
OR51I1	OR51I1	ENSG00000167359
OR51I1	HBG2	ENSG00000196565
OR51I1		ENSG00000239920
OR51I1	HBE1	ENSG00000213931
OR51I1	OR51B5	ENSG00000167355
OR51I1	OR51I1	ENSG00000167359
OR51I1	HBG2	ENSG00000196565
OR51I1		ENSG00000239920
OR51I1	HBE1	ENSG00000213931
OR51I1	OR51B5	ENSG00000167355
OR51I1	OR51I1	ENSG00000167359
OR51I1	HBG2	ENSG00000196565
OR51I1		ENSG00000239920
OR51I1	HBE1	ENSG00000213931
OR51I1	OR51B5	ENSG00000167355
OR51I1	OR51I1	ENSG00000167359
OR51I1	HBG2	ENSG00000196565
OR51I1		ENSG00000239920
OR51I1	HBE1	ENSG00000213931
OR51I1	OR51B5	ENSG00000167355
OR51I2	OR51I2	ENSG00000187918
OR51I2	HBG2	ENSG00000196565
OR51I2		ENSG00000239920
OR51I2	HBE1	ENSG00000213931
OR51I2	OR51B5	ENSG00000167355
OR51I2	OR51I2	ENSG00000187918
OR51I2	HBG2	ENSG00000196565
OR51I2		ENSG00000239920
OR51I2	HBE1	ENSG00000213931
OR51I2	OR51B5	ENSG00000167355
OR51I2	OR51I2	ENSG00000187918
OR51I2	HBG2	ENSG00000196565
OR51I2		ENSG00000239920
OR51I2	HBE1	ENSG00000213931
OR51I2	OR51B5	ENSG00000167355
OR51I2	OR51I2	ENSG00000187918
OR51I2	HBG2	ENSG00000196565
OR51I2		ENSG00000239920
OR51I2	HBE1	ENSG00000213931
OR51I2	OR51B5	ENSG00000167355
OR52D1	OR52D1	ENSG00000181609
OR52D1	HBG2	ENSG00000196565
OR52D1		ENSG00000239920
OR52D1	HBE1	ENSG00000213931
OR52D1	OR51B5	ENSG00000167355
OR52D1	OR52D1	ENSG00000181609
OR52D1	HBG2	ENSG00000196565
OR52D1		ENSG00000239920
OR52D1	HBE1	ENSG00000213931
OR52D1	OR51B5	ENSG00000167355
OR52D1	OR52D1	ENSG00000181609
OR52D1	HBG2	ENSG00000196565
OR52D1		ENSG00000239920
OR52D1	HBE1	ENSG00000213931
OR52D1	OR51B5	ENSG00000167355
OR52D1	OR52D1	ENSG00000181609
OR52D1	HBG2	ENSG00000196565
OR52D1		ENSG00000239920
OR52D1	HBE1	ENSG00000213931
OR52D1	OR51B5	ENSG00000167355
UBQLN3	UBQLN3	ENSG00000175520
UBQLN3		ENSG00000239920
UBQLN3	UBQLN3	ENSG00000175520
UBQLN3		ENSG00000239920
UBQLN3	UBQLN3	ENSG00000175520
UBQLN3		ENSG00000239920
UBQLN3	UBQLN3	ENSG00000175520
UBQLN3		ENSG00000239920
UBQLNL	UBQLNL	ENSG00000175518
UBQLNL		ENSG00000239920
UBQLNL	UBQLNL	ENSG00000175518
UBQLNL		ENSG00000239920
UBQLNL	UBQLNL	ENSG00000175518
UBQLNL		ENSG00000239920
UBQLNL	UBQLNL	ENSG00000175518
UBQLNL		ENSG00000239920
OR52H1	OR52H1	ENSG00000181616
OR52H1		ENSG00000239920
OR52H1	OR52H1	ENSG00000181616
OR52H1		ENSG00000239920
OR52H1	OR52H1	ENSG00000181616
OR52H1		ENSG00000239920
OR52H1	OR52H1	ENSG00000181616
OR52H1		ENSG00000239920
OR52B6	OR52B6	ENSG00000187747
OR52B6		ENSG00000239920
OR52B6	OR52B6	ENSG00000187747
OR52B6		ENSG00000239920
OR52B6	OR52B6	ENSG00000187747
OR52B6		ENSG00000239920
OR52B6	OR52B6	ENSG00000187747
OR52B6		ENSG00000239920
TRIM6-TRIM34	TRIM6	ENSG00000121236
TRIM6-TRIM34		ENSG00000239920
TRIM6-TRIM34	TRIM6-TRIM34	ENSG00000258588
TRIM6	TRIM6	ENSG00000121236
TRIM6		ENSG00000239920
TRIM6	TRIM6-TRIM34	ENSG00000258588
TRIM6-TRIM34	TRIM6	ENSG00000121236
TRIM6-TRIM34		ENSG00000239920
TRIM6-TRIM34	TRIM6-TRIM34	ENSG00000258588
TRIM6	TRIM6	ENSG00000121236
TRIM6		ENSG00000239920
TRIM6	TRIM6-TRIM34	ENSG00000258588
TRIM6-TRIM34	TRIM6	ENSG00000121236
TRIM6-TRIM34		ENSG00000239920
TRIM6-TRIM34	TRIM6-TRIM34	ENSG00000258588
TRIM6	TRIM6	ENSG00000121236
TRIM6		ENSG00000239920
TRIM6	TRIM6-TRIM34	ENSG00000258588
TRIM6	TRIM6	ENSG00000121236
TRIM6		ENSG00000239920
TRIM6	TRIM6-TRIM34	ENSG00000258588
TRIM6-TRIM34		ENSG00000239920
TRIM6-TRIM34	TRIM6-TRIM34	ENSG00000258588
TRIM6-TRIM34	TRIM34	ENSG00000258659
TRIM34		ENSG00000239920
TRIM34	TRIM6-TRIM34	ENSG00000258588
TRIM34	TRIM34	ENSG00000258659
TRIM34		ENSG00000239920
TRIM34	TRIM6-TRIM34	ENSG00000258588
TRIM34	TRIM34	ENSG00000258659
TRIM34		ENSG00000239920
TRIM34	TRIM6-TRIM34	ENSG00000258588
TRIM34	TRIM34	ENSG00000258659
TRIM34		ENSG00000239920
TRIM34	TRIM6-TRIM34	ENSG00000258588
TRIM34	TRIM34	ENSG00000258659
TRIM5		ENSG00000239920
TRIM5	TRIM5	ENSG00000132256
TRIM5	TRIM5	ENSG00000132256
TRIM5	TRIM5	ENSG00000132256
TRIM5	TRIM5	ENSG00000132256
TRIM22	TRIM22	ENSG00000132274
TRIM22	TRIM5	ENSG00000132256
TRIM22	TRIM22	ENSG00000132274
TRIM22	TRIM5	ENSG00000132256
TRIM22	TRIM22	ENSG00000132274
TRIM22	TRIM5	ENSG00000132256
TRIM22	TRIM22	ENSG00000132274
TRIM22	TRIM5	ENSG00000132256
OR56B1	OR56B1	ENSG00000181023
OR56B1	TRIM22	ENSG00000132274
OR56B1	TRIM5	ENSG00000132256
OR56B1	OR56B1	ENSG00000181023
OR56B1	TRIM22	ENSG00000132274
OR56B1	TRIM5	ENSG00000132256
OR56B1	OR56B1	ENSG00000181023
OR56B1	TRIM22	ENSG00000132274
OR56B1	TRIM5	ENSG00000132256
OR56B1	OR56B1	ENSG00000181023
OR56B1	TRIM22	ENSG00000132274
OR56B1	TRIM5	ENSG00000132256
OR52N4	OR52N4	ENSG00000181074
OR52N4	TRIM5	ENSG00000132256
OR52N4	OR52N4	ENSG00000181074
OR52N4	TRIM5	ENSG00000132256
OR52N4	OR52N4	ENSG00000181074
OR52N4	TRIM5	ENSG00000132256
OR52N4	OR52N4	ENSG00000181074
OR52N4	TRIM5	ENSG00000132256
OR52N5	OR52N5	ENSG00000181009
OR52N5	TRIM5	ENSG00000132256
OR52N5	OR52N5	ENSG00000181009
OR52N5	TRIM5	ENSG00000132256
OR52N5	OR52N5	ENSG00000181009
OR52N5	TRIM5	ENSG00000132256
OR52N5	OR52N5	ENSG00000181009
OR52N5	TRIM5	ENSG00000132256
OR52N1	OR52N1	ENSG00000181001
OR52N1	TRIM5	ENSG00000132256
OR52N1	OR52N1	ENSG00000181001
OR52N1	TRIM5	ENSG00000132256
OR52N1	OR52N1	ENSG00000181001
OR52N1	TRIM5	ENSG00000132256
OR52N1	OR52N1	ENSG00000181001
OR52N1	TRIM5	ENSG00000132256
OR52N2	OR52N2	ENSG00000180988
OR52N2	TRIM5	ENSG00000132256
OR52N2	OR52N2	ENSG00000180988
OR52N2	TRIM5	ENSG00000132256
OR52N2	OR52N2	ENSG00000180988
OR52N2	TRIM5	ENSG00000132256
OR52N2	OR52N2	ENSG00000180988
OR52N2	TRIM5	ENSG00000132256
OR52E6	OR52E6	ENSG00000205409
OR52E6	TRIM5	ENSG00000132256
OR52E6	OR52E6	ENSG00000205409
OR52E6	TRIM5	ENSG00000132256
OR52E6	OR52E6	ENSG00000205409
OR52E6	TRIM5	ENSG00000132256
OR52E6	OR52E6	ENSG00000205409
OR52E6	TRIM5	ENSG00000132256
OR52E8	OR52E8	ENSG00000183269
OR52E8	TRIM5	ENSG00000132256
OR52E8	OR52E8	ENSG00000183269
OR52E8	TRIM5	ENSG00000132256
OR52E8	OR52E8	ENSG00000183269
OR52E8	TRIM5	ENSG00000132256
OR52E8	OR52E8	ENSG00000183269
OR52E8	TRIM5	ENSG00000132256
OR52E4	OR52E4	ENSG00000180974
OR52E4	TRIM5	ENSG00000132256
OR52E4	OR52E4	ENSG00000180974
OR52E4	TRIM5	ENSG00000132256
OR52E4	OR52E4	ENSG00000180974
OR52E4	TRIM5	ENSG00000132256
OR52E4	OR52E4	ENSG00000180974
OR52E4	TRIM5	ENSG00000132256
OR56A3	OR56A3	ENSG00000184478
OR56A3	OR56A3	ENSG00000184478
OR56A3	OR56A3	ENSG00000184478
OR56A3	OR56A3	ENSG00000184478
OR56A5	OR56A5	ENSG00000188691
OR56A5	OR56A5	ENSG00000188691
OR56A5	OR56A5	ENSG00000188691
OR56A5	OR56A5	ENSG00000188691
OR52L1	OR52L1	ENSG00000183313
OR52L1	OR52L1	ENSG00000183313
OR52L1	OR52L1	ENSG00000183313
OR52L1	OR52L1	ENSG00000183313
OR56A4	OR56A4	ENSG00000183389
OR56A4	OR56A4	ENSG00000183389
OR56A4	OR56A4	ENSG00000183389
OR56A4	OR56A4	ENSG00000183389
OR56A1	OR56A1	ENSG00000180934
OR56A1	OR56A1	ENSG00000180934
OR56A1	OR56A1	ENSG00000180934
OR56A1	OR56A1	ENSG00000180934
OR56B4	OR56B4	ENSG00000180919
OR56B4	OR56B4	ENSG00000180919
OR56B4	OR56B4	ENSG00000180919
OR56B4		ENSG00000254444
OR56B4	OR56B4	ENSG00000180919
OR56B4		ENSG00000254444
OR52B2	OR52B2	ENSG00000255307
OR52B2		ENSG00000254444
OR52B2	OR52B2	ENSG00000255307
OR52B2		ENSG00000254444
OR52B2	OR52B2	ENSG00000255307
OR52B2		ENSG00000254444
OR52B2	OR52B2	ENSG00000255307
OR52B2		ENSG00000254444
OR52W1	OR52W1	ENSG00000175485
OR52W1	OR52W1	ENSG00000175485
OR52W1	OR52W1	ENSG00000175485
OR52W1	OR52W1	ENSG00000175485
C11orf42	C11orf42	ENSG00000180878
C11orf42	C11orf42	ENSG00000180878
C11orf42	C11orf42	ENSG00000180878
C11orf42	C11orf42	ENSG00000180878
FAM160A2	FHIP1B	ENSG00000051009
FAM160A2	FHIP1B	ENSG00000051009
FAM160A2	FHIP1B	ENSG00000051009
FAM160A2	FHIP1B	ENSG00000051009
CNGA4	CNGA4	ENSG00000132259
CNGA4	CNGA4	ENSG00000132259
CNGA4	CNGA4	ENSG00000132259
CNGA4	CNGA4	ENSG00000132259
CCKBR	CCKBR	ENSG00000110148
CCKBR	CCKBR	ENSG00000110148
CCKBR	CCKBR	ENSG00000110148
CCKBR	CCKBR	ENSG00000110148
PRKCDBP	CAVIN3	ENSG00000170955
PRKCDBP		ENSG00000282556
PRKCDBP	CAVIN3	ENSG00000170955
PRKCDBP		ENSG00000282556
PRKCDBP	CAVIN3	ENSG00000170955
PRKCDBP		ENSG00000282556
PRKCDBP	CAVIN3	ENSG00000170955
PRKCDBP		ENSG00000282556
SMPD1	SMPD1	ENSG00000166311
SMPD1	SMPD1	ENSG00000166311
SMPD1	SMPD1	ENSG00000166311
SMPD1	SMPD1	ENSG00000166311
APBB1	APBB1	ENSG00000166313
APBB1	APBB1	ENSG00000166313
APBB1	APBB1	ENSG00000166313
APBB1	APBB1	ENSG00000166313
HPX	HPX	ENSG00000110169
HPX	HPX	ENSG00000110169
HPX	HPX	ENSG00000110169
HPX	HPX	ENSG00000110169
TRIM3	TRIM3	ENSG00000110171
TRIM3	TRIM3	ENSG00000110171
TRIM3	TRIM3	ENSG00000110171
TRIM3	TRIM3	ENSG00000110171
ARFIP2	ARFIP2	ENSG00000132254
ARFIP2	ARFIP2	ENSG00000132254
ARFIP2	ARFIP2	ENSG00000132254
ARFIP2	ARFIP2	ENSG00000132254
TIMM10B	TIMM10B	ENSG00000132286
TIMM10B		ENSG00000283977
TIMM10B	TIMM10B	ENSG00000132286
TIMM10B		ENSG00000283977
TIMM10B	TIMM10B	ENSG00000132286
TIMM10B		ENSG00000283977
TIMM10B	TIMM10B	ENSG00000132286
TIMM10B		ENSG00000283977
DNHD1		ENSG00000283977
DNHD1	DNHD1	ENSG00000179532
DNHD1	DNHD1	ENSG00000179532
DNHD1	DNHD1	ENSG00000179532
DNHD1	DNHD1	ENSG00000179532
RRP8	RRP8	ENSG00000132275
RRP8	RRP8	ENSG00000132275
RRP8	RRP8	ENSG00000132275
RRP8	RRP8	ENSG00000132275
ILK		ENSG00000254400
ILK	ILK	ENSG00000166333
ILK	ILK	ENSG00000166333
ILK	TAF10	ENSG00000166337
ILK	ILK	ENSG00000166333
ILK	TAF10	ENSG00000166337
ILK	ILK	ENSG00000166333
ILK	TAF10	ENSG00000166337
ILK		ENSG00000254641
TAF10	TAF10	ENSG00000166337
TAF10		ENSG00000285338
TAF10	TAF10	ENSG00000166337
TAF10		ENSG00000285338
TAF10	TAF10	ENSG00000166337
TAF10		ENSG00000285338
TAF10	TAF10	ENSG00000166337
TAF10		ENSG00000285338
TPP1	TPP1	ENSG00000166340
TPP1	TPP1	ENSG00000166340
TPP1	TPP1	ENSG00000166340
TPP1	TPP1	ENSG00000166340
DCHS1	DCHS1	ENSG00000166341
DCHS1	DCHS1	ENSG00000166341
DCHS1	DCHS1	ENSG00000166341
DCHS1		ENSG00000255410
DCHS1	DCHS1	ENSG00000166341
DCHS1		ENSG00000255410
MRPL17	MRPL17	ENSG00000158042
MRPL17	MRPL17	ENSG00000158042
MRPL17	MRPL17	ENSG00000158042
MRPL17	MRPL17	ENSG00000158042
OR2AG2	OR2AG2	ENSG00000188124
OR2AG2	OR2AG2	ENSG00000188124
OR2AG2	OR2AG2	ENSG00000188124
OR2AG2	OR2AG2	ENSG00000188124
OR2AG1	OR2AG1	ENSG00000279486
OR2AG1	OR2AG1	ENSG00000279486
OR2AG1	OR2AG1	ENSG00000279486
OR2AG1	OR2AG1	ENSG00000279486
OR6A2	OR6A2	ENSG00000184933
OR6A2	OR6A2	ENSG00000184933
OR6A2	OR6A2	ENSG00000184933
OR6A2	OR6A2	ENSG00000184933
OR10A5	OR10A5	ENSG00000166363
OR10A5		ENSG00000283415
OR10A5	OR10A5	ENSG00000166363
OR10A5		ENSG00000283415
OR10A2	OR10A5	ENSG00000166363
OR10A2		ENSG00000283415
OR10A5	OR10A5	ENSG00000166363
OR10A5		ENSG00000283415
OR10A2	OR10A5	ENSG00000166363
OR10A2		ENSG00000283415
OR10A2		ENSG00000283415
OR10A2	OR10A2	ENSG00000170790
OR10A5		ENSG00000283415
OR10A5	OR10A2	ENSG00000170790
OR10A2		ENSG00000283415
OR10A2	OR10A2	ENSG00000170790
OR10A4	OR10A4	ENSG00000170782
OR10A4		ENSG00000283415
OR10A4	OR10A4	ENSG00000170782
OR10A4		ENSG00000283415
OR10A4	OR10A4	ENSG00000170782
OR10A4		ENSG00000283415
OR10A4	OR10A4	ENSG00000170782
OR10A4		ENSG00000283415
OR2D2	OR2D2	ENSG00000166368
OR2D2		ENSG00000283415
OR2D2	OR2D2	ENSG00000166368
OR2D2		ENSG00000283415
OR2D2	OR2D2	ENSG00000166368
OR2D2		ENSG00000283415
OR2D2	OR2D2	ENSG00000166368
OR2D2		ENSG00000283415
OR2D3	OR2D3	ENSG00000178358
OR2D3		ENSG00000283415
OR2D3	OR2D3	ENSG00000178358
OR2D3		ENSG00000283415
OR2D3	OR2D3	ENSG00000178358
OR2D3		ENSG00000283415
OR2D3	OR2D3	ENSG00000178358
OR2D3		ENSG00000283415
ZNF215	ZNF215	ENSG00000149054
ZNF215	ZNF215	ENSG00000149054
ZNF215	ZNF215	ENSG00000149054
ZNF215	ZNF215	ENSG00000149054
ZNF214	ZNF214	ENSG00000149050
ZNF214	ZNF215	ENSG00000149054
ZNF214	ZNF214	ENSG00000149050
ZNF214	ZNF215	ENSG00000149054
ZNF214	ZNF214	ENSG00000149050
ZNF214	ZNF214	ENSG00000149050
NLRP14	NLRP14	ENSG00000158077
NLRP14	NLRP14	ENSG00000158077
NLRP14	NLRP14	ENSG00000158077
NLRP14	NLRP14	ENSG00000158077
RBMXL2	RBMXL2	ENSG00000170748
RBMXL2	RBMXL2	ENSG00000170748
RBMXL2	RBMXL2	ENSG00000170748
RBMXL2	RBMXL2	ENSG00000170748
SYT9	SYT9	ENSG00000170743
SYT9	SYT9	ENSG00000170743
SYT9	SYT9	ENSG00000170743
SYT9	SYT9	ENSG00000170743
SH3BP1	SYT9-AS1	ENSG00000251364
OLFML1	OLFML1	ENSG00000183801
OLFML1	SYT9-AS1	ENSG00000251364
OLFML1	OLFML1	ENSG00000183801
OLFML1	SYT9-AS1	ENSG00000251364
OLFML1	OLFML1	ENSG00000183801
OLFML1	SYT9-AS1	ENSG00000251364
OLFML1	OLFML1	ENSG00000183801
OLFML1	SYT9-AS1	ENSG00000251364
PPFIBP2	PPFIBP2	ENSG00000166387
PPFIBP2	PPFIBP2	ENSG00000166387
PPFIBP2	PPFIBP2	ENSG00000166387
PPFIBP2	PPFIBP2	ENSG00000166387
CYB5R2	CYB5R2	ENSG00000166394
CYB5R2	CYB5R2	ENSG00000166394
